word,bank,wlen
ABACA,A,5
ABACK,A,5
ABACUS,A,6
ABAFT,A,5
ABALONE,A,7
ABANDON,A,7
ABANDONMENT,A,11
ABASE,A,5
ABASEMENT,A,9
ABATE,A,5
ABATEMENT,A,9
ABATTOIR,A,8
ABBA,A,4
ABBE,A,4
ABBESS,A,6
ABBEY,A,5
ABBOT,A,5
ABBREVIATE,A,10
ABBREVIATION,A,12
ABDICATE,A,8
ABDICATION,A,10
ABDOMEN,A,7
ABDOMINAL,A,9
ABDUCENS,A,8
ABDUCT,A,6
ABDUCTION,A,9
ABDUCTOR,A,8
ABEAM,A,5
ABED,A,4
ABELIAN,A,7
ABERRANT,A,8
ABERRATION,A,10
ABET,A,4
ABETTOR,A,7
ABEYANCE,A,8
ABHOR,A,5
ABHORRENCE,A,10
ABHORRENT,A,9
ABIDE,A,5
ABILITY,A,7
ABIOTIC,A,7
ABJECT,A,6
ABJECTION,A,9
ABJECTLY,A,8
ABJURATION,A,10
ABJURE,A,6
ABLATION,A,8
ABLATIVE,A,8
ABLAZE,A,6
ABLE,A,4
ABLUTION,A,8
ABLY,A,4
ABNEGATION,A,10
ABNORMAL,A,8
ABNORMALITY,A,11
ABNORMALLY,A,10
ABOARD,A,6
ABODE,A,5
ABOLISH,A,7
ABOLISHMENT,A,11
ABOLITION,A,9
ABOLITIONISM,A,12
ABOLITIONIST,A,12
ABOMINABLE,A,10
ABOMINABLY,A,10
ABOMINATION,A,11
ABORAL,A,6
ABORIGINAL,A,10
ABORIGINE,A,9
ABORT,A,5
ABORTION,A,8
ABORTIVE,A,8
ABORTUS,A,7
ABOUND,A,6
ABOUT,A,5
ABOVE,A,5
ABOVEGROUND,A,11
ABRASION,A,8
ABRASIVE,A,8
ABREAST,A,7
ABRI,A,4
ABRIDGE,A,7
ABRIDGEMENT,A,11
ABRIDGMENT,A,10
ABROAD,A,6
ABROGATE,A,8
ABROGATION,A,10
ABRUPT,A,6
ABRUPTLY,A,8
ABRUPTNESS,A,10
ABSCESS,A,7
ABSCISSA,A,8
ABSCISSION,A,10
ABSCOND,A,7
ABSENCE,A,7
ABSENT,A,6
ABSENTEE,A,8
ABSENTEEISM,A,11
ABSENTLY,A,8
ABSENTMINDED,A,12
ABSENTMINDEDLY,A,14
ABSINTHE,A,8
ABSOLUTE,A,8
ABSOLUTELY,A,10
ABSOLUTENESS,A,12
