# kind: sgen
# glens: 1..=2309
# alens: 1..=2309
# ntops1: 700
# ntops2: 7
# ecuts: 15
glen,alen,tot,time,mode,ntops1,ntops2,ecut
533,126,324,17,E,700,7,15
7777,116,297,38,E,700,7,15
12665,133,342,60,E,700,7,15
4014,284,797,201,E,700,7,15
1201,526,1575,412,E,700,7,15
11876,15,30,3,E,700,7,15
10665,628,1883,749,E,700,7,15
6613,689,2094,877,E,700,7,15
11257,697,2115,908,E,700,7,15
6528,297,830,179,E,700,7,15
6593,331,933,253,E,700,7,15
4550,914,2867,1270,E,700,7,15
6594,915,2857,1279,E,700,7,15
4951,328,933,274,E,700,7,15
4771,989,3113,1564,E,700,7,15
7253,435,1254,348,E,700,7,15
5319,537,1602,487,E,700,7,15
3377,1301,4240,2530,E,700,7,15
2722,12,24,2,E,700,7,15
2979,948,2973,1182,E,700,7,15
2793,93,234,21,E,700,7,15
11585,979,3068,1716,E,700,7,15
9589,1175,3757,2128,E,700,7,15
9198,1709,5703,5129,E,700,7,15
4723,1796,6024,5042,E,700,7,15
12278,1074,3397,1836,E,700,7,15
2557,456,1343,341,E,700,7,15
3886,2012,6833,5836,E,700,7,15
7219,194,514,92,E,700,7,15
3531,1905,6442,4934,E,700,7,15
9226,236,642,150,E,700,7,15
5760,2180,7440,7347,E,700,7,15
12058,822,2536,1289,E,700,7,15
10269,1991,6729,7467,E,700,7,15
6298,2110,7190,7076,E,700,7,15
8373,2052,6939,7180,E,700,7,15
2935,969,3060,1211,E,700,7,15
8751,615,1859,729,E,700,7,15
1799,231,633,100,E,700,7,15
1983,77,187,8,E,700,7,15
6882,1385,4512,2807,E,700,7,15
12519,2183,7428,8857,E,700,7,15
5106,628,1883,644,E,700,7,15
4635,893,2794,1199,E,700,7,15
1840,134,344,35,E,700,7,15
8566,2034,6884,7148,E,700,7,15
11202,1058,3331,1783,E,700,7,15
2679,986,3127,1295,E,700,7,15
6991,1119,3572,1885,E,700,7,15
5950,387,1104,309,E,700,7,15
6048,2178,7430,6594,E,700,7,15
9219,744,2267,948,E,700,7,15
6508,1904,6403,5982,E,700,7,15
10784,1831,6117,6318,E,700,7,15
9123,1438,4715,4110,E,700,7,15
1823,418,1220,289,E,700,7,15
7878,336,946,296,E,700,7,15
7493,134,347,44,E,700,7,15
6420,2126,7248,7695,E,700,7,15
9357,423,1221,524,E,700,7,15
3653,1307,4246,2546,E,700,7,15
12862,578,1732,998,E,700,7,15
10888,1182,3767,2505,E,700,7,15
9860,417,1202,567,E,700,7,15
1734,49,114,4,E,700,7,15
12279,584,1738,918,E,700,7,15
12595,1669,5528,5944,E,700,7,15
6104,1090,3460,1895,E,700,7,15
5859,28,57,3,E,700,7,15
10923,1597,5272,5419,E,700,7,15
2338,1544,5138,3527,E,700,7,15
4041,513,1512,494,E,700,7,15
6749,1723,5744,5157,E,700,7,15
8856,171,449,60,E,700,7,15
5141,499,1482,490,E,700,7,15
4754,1152,3668,1933,E,700,7,15
3551,548,1629,496,E,700,7,15
3180,1629,5420,3778,E,700,7,15
7627,1468,4794,3203,E,700,7,15
11077,2212,7547,9169,E,700,7,15
9549,2176,7410,8823,E,700,7,15
2892,1686,5679,4395,E,700,7,15
3372,91,222,12,E,700,7,15
9139,1334,4328,3291,E,700,7,15
8376,1495,4895,3559,E,700,7,15
12825,546,1622,762,E,700,7,15
10094,597,1788,713,E,700,7,15
11962,2173,7388,8873,E,700,7,15
1780,188,505,74,E,700,7,15
925,279,781,148,E,700,7,15
9445,486,1422,567,E,700,7,15
8578,1027,3245,1910,E,700,7,15
5085,2173,7427,6287,E,700,7,15
4354,1857,6248,5167,E,700,7,15
5741,1497,4921,3347,E,700,7,15
12064,762,2313,1049,E,700,7,15
10312,1904,6392,7232,E,700,7,15
10135,960,3011,1755,E,700,7,15
4588,1784,5976,4805,E,700,7,15
9691,916,2862,1609,E,700,7,15
7373,1051,3335,1928,E,700,7,15
4492,169,445,73,E,700,7,15
1091,628,1921,576,E,700,7,15
11220,1959,6647,7825,E,700,7,15
7678,602,1794,754,E,700,7,15
3028,518,1534,462,E,700,7,15
12033,932,2908,1796,E,700,7,15
11284,1503,4914,3982,E,700,7,15
9153,134,340,32,E,700,7,15
3725,2302,7919,8813,E,700,7,15
7497,1886,6342,6305,E,700,7,15
4073,1595,5275,3629,E,700,7,15
2919,134,348,37,E,700,7,15
2285,1386,4569,2786,E,700,7,15
12467,1276,4133,3048,E,700,7,15
9766,1909,6425,6923,E,700,7,15
10842,813,2505,1283,E,700,7,15
1950,254,706,147,E,700,7,15
3919,246,679,121,E,700,7,15
5084,696,2090,672,E,700,7,15
7112,210,566,132,E,700,7,15
12295,422,1207,436,E,700,7,15
4597,271,749,160,E,700,7,15
10627,481,1403,597,E,700,7,15
7375,1566,5172,4270,E,700,7,15
2601,497,1459,472,E,700,7,15
12816,1646,5432,5354,E,700,7,15
1300,592,1804,664,E,700,7,15
11165,1373,4459,3267,E,700,7,15
11047,601,1790,863,E,700,7,15
1047,619,1887,561,E,700,7,15
2911,227,621,128,E,700,7,15
10968,700,2113,964,E,700,7,15
11450,1950,6555,7925,E,700,7,15
12778,211,565,117,E,700,7,15
4197,879,2750,1277,E,700,7,15
12064,404,1158,431,E,700,7,15
10813,749,2297,1020,E,700,7,15
4998,1910,6431,6080,E,700,7,15
4605,664,2015,880,E,700,7,15
6760,2067,7024,7557,E,700,7,15
8186,273,759,211,E,700,7,15
9742,1411,4605,3679,E,700,7,15
1552,1164,3744,1650,E,700,7,15
7484,1660,5512,4552,E,700,7,15
5424,1023,3242,1669,E,700,7,15
6247,1664,5540,4526,E,700,7,15
3205,66,158,14,E,700,7,15
1445,308,882,206,E,700,7,15
1507,567,1706,554,E,700,7,15
8048,122,309,38,E,700,7,15
10311,75,181,25,E,700,7,15
5329,358,1019,314,E,700,7,15
1456,232,639,131,E,700,7,15
4426,917,2877,1241,E,700,7,15
4629,1413,4615,3394,E,700,7,15
12220,1226,3935,2992,E,700,7,15
7427,761,2346,1164,E,700,7,15
10133,1419,4638,4018,E,700,7,15
5412,1658,5511,4675,E,700,7,15
10119,813,2484,1252,E,700,7,15
7573,1127,3570,2101,E,700,7,15
7340,1589,5273,4493,E,700,7,15
6759,1393,4539,2738,E,700,7,15
10847,1163,3709,2253,E,700,7,15
2345,993,3143,1585,E,700,7,15
2935,743,2274,795,E,700,7,15
6386,240,653,145,E,700,7,15
1622,519,1552,448,E,700,7,15
5795,1144,3656,1995,E,700,7,15
4406,2275,7821,9070,E,700,7,15
6634,498,1470,478,E,700,7,15
10025,1100,3487,2293,E,700,7,15
11239,1303,4188,2981,E,700,7,15
5394,477,1403,481,E,700,7,15
5850,1326,4290,2820,E,700,7,15
