n,h
1,1.0
2,3.0
3,5.0
4,7.0
5,9.0
6,11.0
7,13.0
8,15.166666666666666
9,17.363636363636363
10,20.0
11,21.5
12,24.0
13,25.76923076923077
14,27.857142857142858
15,30.0
16,32.0
17,34.0
18,36.4
19,38.0
20,40.42857142857143
21,42.5
22,45.333333333333336
23,48.18181818181818
24,50.22222222222222
25,52.0
26,55.0
27,56.8
28,59.166666666666664
29,61.833333333333336
30,63.666666666666664
31,66.44444444444444
32,68.75
33,72.33333333333333
34,74.0
35,76.77777777777777
36,78.625
37,81.06666666666666
38,84.0
39,86.5
40,88.4
41,91.375
42,93.83333333333333
43,95.18181818181819
44,99.33333333333333
45,101.46153846153847
46,104.0
47,106.33333333333333
48,109.16666666666667
49,109.42857142857143
50,114.88888888888889
51,115.4
52,119.4
53,122.5
54,124.0909090909091
55,126.66666666666667
56,130.16666666666666
57,132.83333333333334
58,134.71428571428572
59,137.85714285714286
60,141.2
61,142.8
62,145.33333333333334
63,147.75
64,151.0
65,152.375
66,156.9
67,159.66666666666666
68,161.0
69,164.54545454545453
70,167.125
71,170.5
72,173.44444444444446
73,175.16666666666666
74,177.625
75,180.07692307692307
76,182.5
77,186.44444444444446
78,188.11111111111111
79,191.25
80,193.0909090909091
81,197.0
82,200.8
83,203.75
84,204.11111111111111
85,206.75
86,210.2
87,211.0
88,215.6
89,218.78571428571428
90,222.66666666666666
91,223.22222222222223
92,227.75
93,228.75
94,231.88888888888889
95,234.2
96,237.4
97,241.57142857142858
98,242.71428571428572
99,243.66666666666666
100,248.28571428571428
101,252.0625
102,252.0625
103,257.6666666666667
104,259.9
105,263.14285714285717
106,265.9230769230769
107,265.9230769230769
108,270.25
109,274.75
110,276.75
111,280.15384615384613
112,280.15384615384613
113,285.0
114,286.14285714285717
115,289.6
116,294.3
117,297.1666666666667
118,300.8888888888889
119,301.75
120,304.6666666666667
121,307.6666666666667
122,312.1666666666667
123,313.42857142857144
124,313.5
125,318.8333333333333
126,321.14285714285717
127,324.55555555555554
128,326.75
129,330.6923076923077
130,330.8333333333333
131,334.375
132,338.8333333333333
133,342.0
134,342.625
135,346.125
136,347.0
137,351.8333333333333
138,354.6
139,358.6666666666667
140,361.6
141,364.5
142,369.8181818181818
143,370.0
144,371.8
145,374.0
146,378.1333333333333
147,379.375
148,385.7857142857143
149,387.3
150,392.85714285714283
151,393.0
152,397.0
153,397.8
154,401.3333333333333
155,405.5
156,407.9
157,410.6666666666667
158,414.25
159,416.8
160,417.7142857142857
161,420.875
162,425.625
163,426.5
164,430.3076923076923
165,432.5
166,437.4
167,439.7
168,443.57142857142856
169,446.1111111111111
170,447.8
171,450.6
172,452.5
173,453.6666666666667
174,458.0
175,460.1666666666667
176,465.6666666666667
177,468.77777777777777
178,471.4
179,474.14285714285717
180,477.3333333333333
181,481.4
182,483.45454545454544
183,485.0
184,489.55555555555554
185,495.8125
186,495.8125
187,497.8333333333333
188,498.75
189,502.0
190,506.7142857142857
191,509.3333333333333
192,511.0
193,516.0384615384614
194,516.0384615384614
195,517.0
196,525.1
197,528.5714285714286
198,528.5714285714286
199,533.8
200,533.8
201,538.3333333333334
202,541.5714285714286
203,543.9
204,548.75
205,549.2727272727273
206,554.1666666666666
207,555.2
208,558.3333333333334
209,559.3636363636364
210,566.1818181818181
211,566.6153846153846
212,569.0
213,574.5
214,577.5714285714286
215,578.6666666666666
216,583.6363636363636
217,583.6363636363636
218,586.9166666666666
219,592.6
220,592.6
221,596.5714285714286
222,603.7142857142857
223,604.2222222222222
224,607.0
225,609.6666666666666
226,612.125
227,618.3333333333334
228,621.8
229,624.4375
230,624.4375
231,629.1428571428571
232,629.3333333333334
233,635.2222222222222
234,636.1666666666666
235,641.4615384615385
236,641.4615384615385
237,647.4285714285714
238,648.8888888888889
239,653.2727272727273
240,654.5
241,656.4
242,662.5
243,663.6666666666666
244,664.875
245,669.75
246,672.6666666666666
247,675.8888888888889
248,678.2222222222222
249,681.75
250,683.8333333333334
251,685.0
252,691.6666666666666
253,693.7272727272727
254,697.3333333333334
255,698.4545454545455
256,705.5
257,708.25
258,708.25
259,711.7142857142857
260,714.375
261,718.0666666666667
262,720.7142857142857
263,721.75
264,722.25
265,730.75
266,732.0
267,736.3333333333334
268,737.25
269,738.8333333333334
270,743.9
271,745.375
272,749.6666666666666
273,754.3333333333334
274,756.8666666666667
275,760.5555555555555
276,765.4285714285714
277,765.4285714285714
278,765.8333333333334
279,772.0
280,774.5555555555555
281,776.6
282,780.5714285714286
283,783.3333333333334
284,787.3333333333334
285,789.1818181818181
286,792.1428571428571
287,795.4
288,796.875
289,802.8888888888889
290,806.25
291,810.6666666666666
292,810.6666666666666
293,814.0
294,817.3
295,822.5
296,822.5
297,824.6666666666666
298,829.6666666666666
299,830.5555555555555
300,835.625
301,839.0
302,841.0
303,845.5
304,848.3
305,848.6
306,853.8333333333334
307,858.1428571428571
308,861.625
309,863.0
310,865.4444444444445
311,868.2
312,871.8888888888889
313,875.8181818181819
314,879.25
315,885.4
316,885.4
317,888.7647058823529
318,888.7647058823529
319,895.3636363636364
320,898.3333333333334
321,898.3333333333334
322,903.875
323,905.0
324,911.1111111111111
325,915.3333333333334
326,917.5454545454545
327,917.5454545454545
328,919.8333333333334
329,925.8
330,926.8181818181819
331,932.5555555555555
332,934.25
333,938.2857142857143
334,940.7142857142857
