n,h,m
2309,7898,N
2134,7260,N
2104,7157,N
978,3057,N
1982,6681,N
2179,7418,N
1797,6000,N
1497,4957,N
1689,5594,N
2110,7171,N
1045,3296,N
1845,6171,N
508,1479,N
38,83,N
1296,4168,N
70,167,N
563,1674,N
1755,5876,N
1460,4751,N
443,1292,N
335,953,N
827,2541,N
16,32,N
1662,5501,N
436,1264,N
1694,5668,N
315,881,N
186,490,N
608,1831,N
1387,4543,N
1384,4546,N
641,1927,N
2283,7828,N
2191,7481,N
2127,7217,N
1044,3288,N
1776,5944,N
1700,5692,N
1968,6622,N
946,2993,N
1114,3522,N
308,864,N
1308,4260,N
1722,5718,N
1834,6141,N
1298,4253,N
928,2899,N
2309,7898,N
1655,5479,N
877,2719,N
261,725,N
1989,6737,N
1262,4081,N
1183,3767,N
360,1034,N
1861,6235,N
545,1594,N
1674,5552,N
1014,3202,N
2240,7673,N
150,389,N
1323,4270,N
462,1340,N
1980,6682,N
1583,5215,N
2280,7812,N
853,2635,N
835,2586,N
2019,6844,N
440,1267,N
2263,7747,N
1584,5202,N
1317,4289,N
462,1341,N
290,802,N
734,2256,N
1877,6292,N
302,836,N
1011,3216,N
1002,3156,N
2149,7316,N
1256,4031,N
272,758,N
588,1772,N
892,2781,N
1549,5152,N
233,633,N
1013,3195,N
1470,4855,N
1000,3171,N
990,3113,N
1779,5924,N
604,1791,N
2091,7100,N
180,480,N
388,1098,N
184,490,N
1247,4036,N
41,92,N
1231,3973,N
37,84,N
767,2364,N
204,561,N
858,2643,N
864,2694,N
1992,6710,N
1103,3549,N
1056,3378,N
411,1175,N
1358,4417,N
833,2585,N
1993,6729,N
1774,5935,N
1622,5426,N
1425,4618,N
1662,5492,N
80,194,N
631,1898,N
1160,3696,N
1397,4529,N
386,1095,N
747,2273,N
1491,4882,N
342,963,N
1632,5403,N
1752,5827,N
442,1286,N
257,711,N
2002,6755,N
1097,3467,N
997,3151,N
1478,4872,N
2232,7627,N
2127,7246,N
2234,7645,N
165,429,N
1034,3290,N
13,26,N
1159,3687,N
20,40,N
845,2632,N
605,1811,N
942,2917,N
2300,7887,N
1838,6143,N
642,1931,N
181,481,N
1672,5577,N
1659,5469,N
1969,6701,N
1111,3534,N
897,2803,N
1085,3467,N
2222,7603,N
557,1663,N
1304,4221,N
889,2758,N
1872,6270,N
395,1119,N
1386,4536,N
764,2326,N
1883,6309,N
2146,7320,N
605,1808,N
1985,6712,N
1760,5875,N
115,290,N
91,227,N
1466,4853,N
237,648,N
2064,6971,N
1252,4010,N
357,1023,N
1086,3454,N
925,2887,N
265,736,N
1465,4782,N
244,662,N
1716,5690,N
275,769,N
1210,3870,N
1462,4789,N
1659,5486,N
1673,5543,N
1690,5635,N
294,822,N
2171,7391,N
659,2008,N
733,2217,N
661,1972,N
755,2296,N
6,11,N
2242,7667,N
636,1903,N
1535,5033,N
1471,4819,N
1944,6546,N
123,311,N
1120,3572,N
1619,5356,N
1541,5108,N
1061,3353,N
2160,7360,N
339,951,N
1797,5983,N
876,2738,N
1893,6345,N
2009,6790,N
2237,7649,N
547,1629,N
1748,5827,N
544,1608,N
1316,4240,N
1401,4588,N
237,648,N
318,891,N
74,178,N
2298,7873,N
867,2699,N
1974,6674,N
822,2537,N
718,2177,N
250,685,N
900,2793,N
1765,5892,N
811,2507,N
1644,5453,N
1292,4167,N
741,2290,N
1493,4887,N
574,1722,N
81,195,N
2266,7755,N
1626,5449,N
520,1540,N
638,1915,N
1422,4625,N
2274,7788,N
1295,4175,N
1729,5775,N
229,627,N
712,2153,N
1955,6569,N
842,2602,N
1103,3535,N
1731,5789,N
2229,7620,N
1271,4142,N
1890,6338,N
721,2187,N
361,1026,N
1241,3957,N
1057,3344,N
851,2646,N
88,213,N
23,48,N
2206,7542,N
1168,3750,N
529,1563,N
2239,7660,N
2010,6842,N
1807,6067,N
1025,3250,N
170,451,N
2166,7387,N
1896,6386,N
965,3035,N
2299,7887,N
172,456,N
1195,3812,N
1581,5252,N
477,1395,N
2029,6871,N
542,1596,N
1124,3585,N
521,1536,N
899,2798,N
1335,4312,N
175,458,N
1587,5212,N
1449,4761,N
330,927,N
1179,3740,N
1834,6135,N
1085,3462,N
1970,6657,N
1808,6050,N
1502,4919,N
626,1874,N
1671,5547,N
299,825,N
50,117,N
1970,6667,N
103,263,N
673,2035,N
103,255,N
1190,3795,N
210,569,N
89,221,N
442,1292,N
514,1529,N
317,884,N
1979,6665,N
1869,6268,N
364,1042,N
1612,5314,N
1424,4644,N
2173,7391,N
148,386,N
528,1545,N
1172,3795,N
297,817,N
574,1694,N
84,202,N
1309,4279,N
1092,3470,N
1259,4049,N
1962,6611,N
2135,7250,N
69,163,N
1814,6082,N
1470,4840,N
688,2104,N
553,1630,N
1054,3337,N
1455,4743,N
621,1879,N
115,288,N
2113,7182,N
2068,7010,N
928,2904,N
2237,7645,N
258,700,N
1735,5781,N
578,1712,N
694,2107,N
289,811,N
1647,5484,N
1123,3596,N
542,1595,N
2087,7076,N
1824,6091,N
610,1819,N
1252,4022,N
1944,6542,N
890,2778,N
452,1312,N
510,1502,N
876,2722,N
1801,6036,N
1295,4204,N
1806,6050,N
840,2611,N
1380,4469,N
78,186,N
1168,3733,N
819,2507,N
759,2325,N
1252,4002,N
1437,4728,N
1802,6029,N
1306,4258,N
1429,4681,N
1595,5304,N
2135,7264,N
920,2888,N
81,199,N
1959,6628,N
1440,4706,N
1726,5749,N
184,491,N
979,3070,N
631,1911,N
753,2299,N
566,1672,N
2051,6937,N
2092,7104,N
925,2907,N
313,881,N
576,1732,N
1,1,N
644,1928,N
87,211,N
1431,4664,N
2143,7297,N
173,456,N
1031,3245,N
2300,7891,N
1662,5520,N
1444,4721,N
94,229,N
1265,4058,N
1487,4856,N
2201,7518,N
568,1702,N
978,3117,N
1443,4762,N
1163,3704,N
886,2765,N
577,1714,N
873,2701,N
908,2809,N
249,685,N
129,333,N
1174,3786,N
1110,3557,N
786,2418,N
2222,7589,N
1945,6555,N
1430,4680,N
428,1229,N
1577,5244,N
1656,5473,N
949,2971,N
850,2653,N
384,1110,N
1082,3420,N
1909,6421,N
116,291,N
524,1542,N
1029,3256,N
1383,4525,N
298,831,N
1885,6324,N
229,623,N
103,253,N
455,1334,N
1085,3431,N
1516,5032,N
823,2538,N
2173,7411,N
1046,3275,N
181,485,N
178,470,N
924,2871,N
42,98,N
853,2650,N
2050,6962,N
806,2479,N
560,1655,N
1365,4423,N
2075,7054,N
878,2712,N
2234,7641,N
698,2117,N
2231,7619,N
981,3087,N
924,2894,N
1180,3779,N
1800,6017,N
1311,4269,N
929,2895,N
1190,3835,N
1554,5101,N
834,2572,N
565,1676,N
384,1097,N
344,969,N
1182,3788,N
1417,4608,N
36,79,N
1472,4813,N
951,2995,N
1179,3781,N
735,2258,N
1130,3618,N
1004,3175,N
1280,4128,N
1875,6291,N
352,996,N
2048,6945,N
1114,3573,N
1153,3677,N
1571,5199,N
2235,7624,N
729,2217,N
911,2859,N
1388,4485,N
849,2634,N
880,2731,N
1769,5906,N
1428,4690,N
969,3030,N
2260,7744,N
1778,5995,N
663,1995,N
547,1605,N
1751,5849,N
90,224,N
426,1237,N
1310,4242,N
13,25,N
2016,6815,N
1460,4772,N
2219,7583,N
2150,7329,N
1049,3322,N
1983,6711,N
1936,6520,N
861,2649,N
1692,5617,N
2092,7103,N
350,986,N
581,1745,N
2112,7168,N
2040,6910,N
2261,7753,N
1014,3174,N
554,1638,N
841,2589,N
275,757,N
231,627,N
1618,5387,N
1275,4138,N
1442,4766,N
1036,3262,N
1755,5851,N
1241,4010,N
35,80,N
880,2732,N
78,191,N
412,1201,N
1293,4162,N
524,1546,N
2236,7656,N
1803,6019,N
1774,5905,N
1158,3696,N
1276,4085,N
305,847,N
1595,5265,N
1909,6424,N
1883,6342,N
111,281,N
1040,3304,N
1065,3370,N
2263,7746,N
1675,5568,N
219,594,N
1192,3832,N
1906,6405,N
575,1696,N
572,1693,N
904,2846,N
1301,4224,N
403,1162,N
139,360,N
1457,4820,N
1783,5965,N
221,595,N
517,1521,N
1878,6306,N
1128,3589,N
2163,7376,N
437,1273,N
584,1729,N
502,1473,N
968,3052,N
202,539,N
179,477,N
1573,5215,N
167,442,N
1128,3584,N
1921,6441,N
522,1537,N
2197,7515,N
1082,3423,N
1837,6160,N
542,1602,N
663,2002,N
1954,6591,N
1674,5563,N
1338,4369,N
777,2372,N
745,2264,N
1720,5739,N
1013,3198,N
595,1791,N
2141,7275,N
60,145,N
1915,6463,N
865,2685,N
1778,5940,N
1206,3877,N
1467,4792,N
1162,3719,N
1912,6416,N
1713,5693,N
1649,5430,N
2019,6847,N
1297,4248,N
2124,7230,N
407,1174,N
587,1735,N
613,1833,N
147,380,N
192,513,N
1949,6572,N
1406,4587,N
1531,5075,N
366,1043,N
1386,4555,N
1569,5219,N
191,503,N
1902,6416,N
298,844,N
2214,7555,N
1506,4971,N
1572,5170,N
494,1449,N
2146,7315,N
1820,6090,N
1378,4481,N
146,380,N
1539,5061,N
1848,6163,N
2050,6941,N
789,2410,N
2208,7526,N
9,18,N
625,1861,N
1902,6405,N
9,17,N
793,2466,N
1839,6145,N
286,792,N
2017,6817,N
1611,5316,N
1512,4996,N
2092,7109,N
230,631,N
439,1281,N
55,124,N
448,1296,N
419,1207,N
1984,6692,N
975,3036,N
1479,4875,N
833,2574,N
1586,5226,N
1374,4507,N
997,3136,N
466,1369,N
2112,7164,N
216,581,N
253,692,N
2239,7655,N
704,2156,N
777,2385,N
143,374,N
1534,5023,N
105,260,N
1481,4889,N
1267,4065,N
1390,4505,N
168,441,N
1131,3594,N
660,1971,N
1131,3619,N
385,1108,N
1631,5385,N
2250,7697,N
827,2534,N
1447,4724,N
2105,7151,N
2037,6906,N
1322,4285,N
1138,3649,N
1928,6493,N
1696,5634,N
2227,7610,N
1574,5185,N
777,2392,N
457,1327,N
358,1022,N
629,1887,N
530,1568,N
1862,6255,N
1319,4302,N
976,3051,N
1313,4254,N
164,430,N
1282,4161,N
1266,4073,N
137,357,N
1208,3865,N
289,810,N
397,1140,N
1006,3155,N
1168,3730,N
328,916,N
914,2844,N
341,966,N
365,1037,N
1102,3486,N
2093,7095,N
62,145,N
1199,3821,N
1099,3515,N
1963,6624,N
2307,7915,N
113,280,N
1747,5788,N
383,1103,N
2239,7659,N
1693,5611,N
1115,3535,N
465,1366,N
1934,6540,N
2203,7513,N
132,339,N
486,1428,N
605,1820,N
1017,3187,N
59,139,N
1680,5645,N
596,1783,N
38,82,N
987,3090,N
93,229,N
1844,6234,N
1938,6527,N
1888,6347,N
936,2909,N
743,2290,N
1552,5163,N
1797,6049,N
1694,5628,N
627,1869,N
473,1381,N
1513,5003,N
1940,6545,N
2117,7197,N
264,724,N
1891,6349,N
936,2933,N
1111,3563,N
618,1848,N
612,1828,N
2226,7607,N
1837,6150,N
2239,7661,N
735,2236,N
1296,4181,N
420,1215,N
149,390,N
18,36,N
1117,3568,N
894,2779,N
972,3048,N
2234,7648,N
414,1186,N
1490,4912,N
1185,3816,N
82,198,N
1732,5779,N
474,1370,N
2147,7312,N
809,2478,N
2080,7066,N
2087,7091,N
1863,6242,N
1761,5854,N
49,110,N
2065,6995,N
257,709,N
837,2567,N
424,1225,N
2027,6863,N
1569,5225,N
1798,6007,N
1413,4574,N
2267,7763,N
89,217,N
1985,6693,N
1680,5565,N
353,1010,N
1794,5986,N
1936,6493,N
620,1853,N
104,261,N
960,3014,N
1345,4352,N
1941,6555,N
573,1715,N
126,315,N
606,1801,N
174,461,N
967,3043,N
180,478,N
60,138,N
2153,7314,N
1426,4689,N
1727,5742,N
567,1684,N
555,1641,N
1469,4853,N
1191,3807,N
1093,3468,N
1767,5876,N
2193,7490,N
1284,4153,N
1296,4228,N
1195,3825,N
1287,4184,N
1649,5513,N
2221,7574,N
72,173,N
848,2612,N
269,746,N
270,744,N
767,2353,N
1592,5293,N
206,555,N
1138,3631,N
1187,3830,N
1859,6238,N
231,631,N
1089,3434,N
1422,4688,N
1568,5200,N
1106,3489,N
385,1099,N
2160,7362,N
438,1266,N
1935,6500,N
766,2350,N
743,2281,N
548,1621,N
633,1909,N
995,3137,N
899,2791,N
1892,6355,N
600,1789,N
1393,4557,N
1474,4804,N
1044,3320,N
398,1144,N
97,241,N
310,868,N
1720,5719,N
442,1270,N
1104,3501,N
129,331,N
356,1015,N
2152,7329,N
2147,7302,N
995,3143,N
1882,6304,N
420,1211,N
1040,3281,N
813,2517,N
665,1994,N
15,30,N
2238,7650,N
1013,3197,N
262,724,N
1949,6546,N
1572,5239,N
1872,6288,N
406,1156,N
1455,4720,N
612,1828,N
1861,6245,N
284,784,N
1113,3568,N
2104,7165,N
1607,5299,N
2140,7280,N
904,2813,N
996,3103,N
1673,5551,N
1273,4140,N
1355,4428,N
1984,6688,N
1213,3878,N
315,890,N
1811,6077,N
2019,6811,N
798,2440,N
1363,4465,N
940,2932,N
1855,6234,N
37,80,N
1584,5196,N
1181,3774,N
182,488,N
1253,4072,N
30,64,N
1111,3531,N
584,1730,N
1397,4524,N
1703,5717,N
511,1495,N
2081,7052,N
553,1651,N
2087,7104,N
1156,3684,N
565,1682,N
1220,3903,N
1609,5320,N
1627,5406,N
2233,7653,N
2015,6814,N
1477,4824,N
2018,6831,N
786,2410,N
2279,7812,N
506,1505,N
610,1827,N
83,206,N
1737,5852,N
255,699,N
2103,7137,N
595,1775,N
160,416,N
301,852,N
1539,5131,N
2100,7137,N
1777,5914,N
258,716,N
2149,7302,N
1362,4451,N
512,1514,N
1864,6251,N
1052,3332,N
1765,5913,N
1276,4093,N
826,2553,N
309,869,N
261,722,N
853,2653,N
1627,5387,N
1554,5160,N
1354,4439,N
883,2734,N
835,2557,N
1328,4293,N
926,2895,N
888,2753,N
1137,3640,N
2198,7558,N
1245,4015,N
1146,3677,N
2169,7450,N
623,1856,N
1124,3582,N
949,2975,N
14,28,N
2267,7769,N
528,1538,N
1943,6601,N
567,1680,N
1018,3223,N
1878,6320,N
273,751,N
60,142,N
1576,5207,N
1491,4920,N
1645,5443,N
1124,3564,N
146,375,N
1847,6195,N
1546,5052,N
75,180,N
462,1346,N
1908,6404,N
396,1128,N
1118,3547,N
888,2763,N
1845,6187,N
389,1107,N
742,2268,N
540,1605,N
506,1486,N
2286,7834,N
2268,7766,N
1391,4523,N
809,2495,N
993,3134,N
1416,4657,N
1226,3912,N
1414,4628,N
203,540,N
792,2436,N
1983,6719,N
957,3019,N
1390,4510,N
1914,6427,N
1433,4680,N
1859,6242,N
2055,6964,N
913,2838,N
819,2540,N
1810,6068,N
2278,7807,N
1996,6745,N
855,2659,N
2180,7438,N
1626,5368,N
555,1639,N
2169,7411,N
190,501,N
1369,4430,N
374,1052,N
1512,4996,N
1912,6414,N
1422,4613,N
683,2073,N
2161,7370,N
1656,5469,N
1370,4462,N
1117,3560,N
1433,4666,N
1525,5002,N
2104,7125,N
1342,4378,N
1719,5704,N
1600,5266,N
1801,6028,N
186,496,N
1150,3659,N
917,2845,N
1798,5990,N
797,2462,N
1564,5186,N
1557,5101,N
1753,5844,N
1853,6210,N
1170,3750,N
528,1546,N
8,15,N
1381,4495,N
65,149,N
1925,6469,N
822,2526,N
1179,3747,N
215,579,N
1538,5040,N
1884,6325,N
1771,5924,N
1544,5064,N
799,2449,N
882,2726,N
901,2819,N
2126,7220,N
1778,5922,N
1997,6749,N
1176,3751,N
1245,4004,N
829,2555,N
1318,4267,N
141,367,N
811,2503,N
1078,3410,N
1799,6001,N
981,3065,N
2174,7391,N
1930,6479,N
2125,7220,N
447,1299,N
541,1602,N
2123,7210,N
694,2093,N
162,428,N
1811,6057,N
129,332,N
1937,6520,N
1819,6081,N
1815,6056,N
1357,4407,N
2164,7353,N
433,1260,N
57,133,N
681,2066,N
2138,7258,N
2121,7194,N
566,1670,N
2298,7860,N
480,1397,N
1568,5173,N
1801,6009,N
852,2628,N
314,885,N
1099,3487,N
1382,4477,N
1533,5057,N
62,149,N
648,1948,N
2084,7070,N
2072,7014,N
696,2100,N
1137,3620,N
1088,3455,N
2038,6886,N
1314,4281,N
544,1612,N
1337,4321,N
1828,6121,N
794,2449,N
2259,7712,N
1448,4732,N
53,126,N
764,2329,N
807,2486,N
1009,3176,N
651,1950,N
632,1892,N
153,398,N
713,2160,N
154,401,N
1986,6706,N
437,1256,N
2236,7632,N
418,1210,N
1302,4216,N
2262,7721,N
429,1237,N
1827,6102,N
754,2299,N
2186,7452,N
965,3039,N
1857,6237,N
655,1993,N
1178,3766,N
1379,4450,N
683,2064,N
1731,5760,N
1302,4176,N
1208,3850,N
165,435,N
1123,3551,N
450,1293,N
1037,3272,N
740,2245,N
2265,7737,N
929,2903,N
246,671,N
1916,6444,N
703,2141,N
887,2731,N
2142,7294,N
1297,4182,N
2308,7905,N
1004,3166,N
667,2005,N
2039,6874,N
1650,5467,N
1362,4447,N
636,1905,N
39,87,N
1708,5676,N
35,75,N
617,1845,N
871,2697,N
486,1418,N
1314,4240,N
1492,4909,N
185,496,N
827,2575,N
1475,4794,N
124,312,N
1927,6480,N
1666,5486,N
814,2511,N
2063,6989,N
304,848,N
288,804,N
217,586,N
1573,5185,N
1748,5819,N
371,1057,N
116,296,N
1488,4865,N
