alen,lb
1,1
2,3
3,5
4,7
5,9
6,11
7,13
8,15
9,17
10,19
11,21
12,23
13,25
14,27
15,29
16,32
17,33
18,35
19,38
20,39
21,42
22,44
23,46
24,48
25,50
26,53
27,55
28,57
29,60
30,61
31,64
32,66
33,68
34,71
35,74
36,76
37,78
38,80
39,82
40,84
41,90
42,91
43,93
44,95
45,98
46,100
47,103
48,105
49,109
50,110
51,112
52,115
53,118
54,120
55,120
56,126
57,128
58,129
59,134
60,134
61,138
62,140
63,144
64,146
65,149
66,151
67,155
68,155
69,160
70,160
71,165
72,164
73,168
74,171
75,176
76,176
77,181
78,184
79,186
80,190
81,192
82,194
83,197
84,199
85,201
86,203
87,207
88,210
89,212
90,215
91,216
92,220
93,225
94,225
95,225
96,231
97,233
98,238
99,240
100,244
101,247
102,250
103,250
104,252
105,257
106,261
107,263
108,262
109,268
110,269
111,274
112,276
113,279
114,282
115,284
116,288
117,291
118,291
119,295
120,297
121,302
122,303
123,305
124,310
125,312
126,314
127,317
128,321
129,324
130,327
131,328
132,332
133,333
134,336
135,339
136,342
137,344
138,349
139,351
140,355
141,357
142,360
143,361
144,363
145,370
146,373
147,375
148,373
149,379
150,382
151,386
152,390
153,389
154,395
155,398
156,400
157,399
158,403
159,408
160,411
161,412
162,417
163,420
164,423
165,426
166,428
167,433
168,434
169,436
170,441
171,439
172,447
173,448
174,453
175,455
176,452
177,455
178,463
179,465
180,471
181,471
182,471
183,480
184,481
185,482
186,482
187,490
188,490
189,493
190,495
191,501
192,504
193,508
194,511
195,510
196,514
197,520
198,525
199,524
200,527
201,526
202,534
203,532
204,541
205,541
206,544
207,549
208,547
209,556
210,557
211,559
212,563
213,567
214,566
215,570
216,575
217,579
218,581
219,580
220,586
221,587
222,591
223,595
224,599
225,601
226,605
227,603
228,605
229,610
230,615
231,618
232,621
233,626
234,626
235,629
236,634
237,637
238,638
239,641
240,641
241,651
242,650
243,654
244,658
245,656
246,664
247,665
248,665
249,671
250,676
251,680
252,677
253,683
254,685
255,690
256,688
257,695
258,700
259,700
260,704
261,708
262,711
263,714
264,716
265,720
266,717
267,725
268,731
269,731
270,735
271,737
272,741
273,746
274,748
275,750
276,754
277,751
278,760
279,762
280,765
281,769
282,772
283,771
284,778
285,778
286,784
287,788
288,789
289,789
290,796
291,800
292,801
293,803
294,808
295,809
296,815
297,816
298,817
299,824
300,827
