# kind: lgen
# alens: 1..=300
# step: 1
# turns: 6
# ntops: 3
# ecut: 15
# step: 1
alen,lb
1,1
2,3
3,5
4,7
5,9
6,11
7,13
8,15
9,17
19,38
10,19
28,57
11,21
38,80
12,23
20,39
13,25
29,60
21,42
14,27
39,82
76,176
15,29
22,44
30,61
16,32
23,46
40,84
17,33
31,64
18,35
113,279
24,48
32,66
41,90
77,181
25,50
33,68
26,53
42,91
151,386
34,71
27,55
43,93
78,184
35,74
169,436
114,282
44,95
36,76
188,490
79,186
94,225
45,98
37,78
207,549
46,100
80,190
226,605
47,103
115,284
95,225
152,390
48,105
81,192
132,332
49,109
96,231
170,441
263,714
216,575
50,110
116,288
82,194
51,112
97,233
189,493
153,389
83,197
52,115
133,333
117,291
53,118
208,547
98,238
84,199
54,120
171,439
55,120
227,603
85,201
134,336
99,240
118,291
56,126
154,395
57,128
86,203
217,579
190,495
100,244
58,129
119,295
135,339
87,207
59,134
101,247
264,716
172,447
60,134
88,210
209,556
155,398
120,297
61,138
136,342
102,250
89,212
62,140
228,605
191,501
63,144
121,302
90,215
103,250
156,400
64,146
173,448
218,581
137,344
91,216
65,149
104,252
122,303
66,151
210,557
92,220
105,257
67,155
138,349
157,399
93,225
123,305
68,155
192,504
265,720
174,453
106,261
69,160
229,610
139,351
70,160
219,580
124,310
107,263
71,165
158,403
211,559
72,164
108,262
175,455
140,355
125,312
197,520
193,508
73,168
109,268
74,171
159,408
126,314
75,176
141,357
230,615
110,269
220,586
266,717
176,452
212,563
127,317
111,274
194,511
198,525
142,360
160,411
112,276
128,321
177,455
143,361
231,618
161,412
244,658
221,587
129,324
199,524
213,567
178,463
144,363
164,423
267,725
130,327
162,417
145,370
131,328
165,426
179,465
200,527
232,621
222,591
214,566
282,772
245,656
163,420
146,373
166,428
180,471
268,731
147,375
201,526
215,570
223,595
167,433
235,629
148,373
246,664
291,800
181,471
283,771
168,434
202,534
233,626
149,379
224,599
269,731
182,471
150,382
236,634
253,683
286,784
203,532
247,665
234,626
183,480
292,801
284,778
186,482
185,482
204,541
248,665
187,490
270,735
237,637
184,481
287,788
205,541
258,700
206,544
256,688
293,803
238,638
249,671
250,676
272,741
255,690
288,789
259,700
239,641
277,751
241,651
296,815
260,704
294,808
251,680
295,809
273,746
252,677
289,789
274,748
275,750
281,769
280,765
279,762
242,650
240,641
243,654
262,711
276,754
257,695
254,685
278,760
271,737
290,796
285,778
300,827
299,824
225,601
298,817
261,708
297,816
195,510
196,514
